aggregate_period,source_project,source_category,aggregate_count,source_url,last_verified,notes_for_methodology
2025-11,TaiwanVtuberData/TaiwanVtuberTrackingData,basic-data,300,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2025-11,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2025-11,TaiwanVtuberData/TaiwanVtuberTrackingData,other,358,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2025-11,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2025-11,TaiwanVtuberData/TaiwanVtuberTrackingData,twitch-livestreams,163,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2025-11,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2025-11,TaiwanVtuberData/TaiwanVtuberTrackingData,youtube-livestreams,179,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2025-11,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2025-12,TaiwanVtuberData/TaiwanVtuberTrackingData,basic-data,310,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2025-12,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2025-12,TaiwanVtuberData/TaiwanVtuberTrackingData,other,370,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2025-12,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2025-12,TaiwanVtuberData/TaiwanVtuberTrackingData,twitch-livestreams,135,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2025-12,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2025-12,TaiwanVtuberData/TaiwanVtuberTrackingData,youtube-livestreams,185,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2025-12,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2026-01,TaiwanVtuberData/TaiwanVtuberTrackingData,basic-data,310,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2026-01,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2026-01,TaiwanVtuberData/TaiwanVtuberTrackingData,other,372,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2026-01,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2026-01,TaiwanVtuberData/TaiwanVtuberTrackingData,twitch-livestreams,132,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2026-01,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2026-01,TaiwanVtuberData/TaiwanVtuberTrackingData,youtube-livestreams,186,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2026-01,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2026-02,TaiwanVtuberData/TaiwanVtuberTrackingData,basic-data,280,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2026-02,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2026-02,TaiwanVtuberData/TaiwanVtuberTrackingData,other,332,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2026-02,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2026-02,TaiwanVtuberData/TaiwanVtuberTrackingData,twitch-livestreams,222,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2026-02,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2026-02,TaiwanVtuberData/TaiwanVtuberTrackingData,youtube-livestreams,166,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2026-02,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
2026-03,TaiwanVtuberData/TaiwanVtuberTrackingData,basic-data,310,https://github.com/TaiwanVtuberData/TaiwanVtuberTrackingData/tree/master/2026-03,2026-06-07,Derived from public repository file metadata only; raw CSV rows not copied.
